,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlPR047,south,-49.46,-25.7,934,16.6,10.8,57,298,25.8,6.7,19.1,1312,178,67,28,0,0,230,202,0,6,0,1294,101,0,0,5,35,50,65,37,0
AtlPR048,south,-49.2,-25.93,936,16.1,10,54,304,25.1,6.5,18.6,1496,187,81,28,0,0,260,339,0,6,0,1235,121,0,0,20,15,50,66,37,0
AtlPR049,south,-49.49,-26.06,965,16.3,10.9,56,308,25.7,6.1,19.6,1385,171,77,25,0,0,235,244,0,7,0,1284,108,0,0,20,15,50,66,37,0
AtlPR050,south,-49.8,-23.9,742,18.9,11.9,62,279,27.7,8.4,19.3,1250,171,43,42,0,0,185,235,0,2,0,1462,85,0,0,5,5,50,73,37,0
AtlPR051,south,-51.34,-24.02,797,18.4,12.7,63,285,27.8,7.6,20.2,1611,203,74,31,0,0,275,448,0,4,0,1509,107,0,0,5,5,50,73,37,0
AtlPR052,south,-49.72,-24.11,784,18.7,12,58,319,28,7.3,20.7,1284,189,52,40,0,0,185,250,0,3,0,1452,88,0,0,20,85,50,49,37,0
AtlPR053,south,-50.98,-24.17,767,18.3,13,63,288,28,7.2,20.8,1513,189,78,26,0,0,275,344,0,4,0,1513,100,0,0,20,85,50,49,37,0
AtlPR054,south,-49.91,-24.19,797,18.2,12.1,57,319,27.7,6.6,21.1,1327,187,57,36,0,0,195,256,0,5,0,1454,91,0,0,20,85,50,49,37,0
AtlPR055,south,-52.35,-24.2,623,19.8,11.4,61,281,28.7,10,18.7,1577,196,80,28,0,0,300,417,0,0,0,1473,107,0,0,5,15,35,63,37,0
AtlPR056,south,-52.92,-24.21,503,20.5,12.1,61,300,30.1,10.1,20,1527,192,75,29,0,0,290,363,0,0,0,1548,99,0,0,5,15,50,70,37,0
AtlPR057,south,-49.49,-24.25,769,18.1,11.7,56,322,27.4,6.6,20.8,1345,204,55,41,0,0,190,298,0,4,0,1420,98,0,0,20,35,35,54,37,0
AtlPR058,south,-50.71,-24.39,764,18.3,13.1,62,300,28.2,6.9,21.3,1457,169,80,23,0,0,285,294,0,5,0,1506,96,0,0,20,65,50,54,67,0
AtlPR059,south,-51.09,-24.47,711,18.4,12.7,61,300,28.1,7.4,20.7,1564,185,87,25,0,0,300,386,0,4,0,1497,104,0,0,20,65,50,54,67,0
AtlPR060,south,-50.41,-24.48,726,18.6,12.7,62,292,28.1,7.7,20.4,1336,151,51,30,0,0,220,244,0,3,0,1498,89,0,0,20,85,50,49,37,0
AtlPR061,south,-52.85,-24.54,484,20.3,12.1,60,309,29.9,9.7,20.2,1601,231,78,36,0,0,265,446,0,0,0,1540,105,0,0,20,85,50,49,37,0
AtlPR062,south,-52.19,-24.56,759,18.8,11.8,61,281,27.9,8.7,19.2,1639,207,80,32,0,0,295,479,0,1,0,1454,113,0,0,5,15,50,70,37,0
AtlPR063,south,-50.98,-24.83,883,17.8,12.2,61,298,27.3,7.2,20.1,1636,182,97,21,0,0,335,439,0,4,0,1425,115,0,0,5,15,50,70,37,0
AtlPR064,south,-53,-24.99,660,18,12.7,61,301,28,7.3,20.7,1803,221,90,28,0,0,340,613,0,4,0,1480,121,0,0,5,15,50,70,37,0
AtlPR065,south,-50.65,-24.99,797,18.1,12,60,297,27.5,7.6,19.9,1550,164,82,22,0,0,315,376,0,3,0,1431,108,0,0,20,65,50,54,67,0
AtlPR066,south,-53.66,-25.09,743,18,13.1,60,314,28.6,6.9,21.7,1885,215,104,21,0,0,360,685,0,5,0,1511,125,0,0,5,5,50,73,37,0
AtlPR067,south,-50.03,-25.22,881,17.8,11.5,59,290,27.1,7.6,19.5,1498,213,79,31,0,0,250,349,0,3,0,1379,109,0,0,20,85,50,49,37,0
AtlPR068,south,-49.64,-25.23,757,17.9,11.1,58,294,26.9,7.8,19.1,1555,202,74,32,0,0,260,405,0,3,0,1371,113,0,0,20,85,50,49,37,0
AtlPR069,south,-50.34,-25.3,863,17.7,11.7,59,301,27.2,7.3,19.9,1469,181,78,27,0,0,255,323,0,4,0,1398,105,0,0,20,35,50,61,37,0
AtlPR070,south,-52.73,-25.45,622,18.4,13.1,60,329,28.9,7,21.9,1767,209,98,25,0,0,350,569,0,4,0,1510,117,0,0,5,15,50,70,37,0
AtlPR071,south,-51.75,-25.6,870,17.2,11.7,59,304,26.8,7,19.8,1734,186,102,19,0,0,360,534,0,5,0,1376,126,0,0,5,35,50,65,37,0
AtlPR072,south,-50.26,-25.66,880,17,11.9,58,317,26.8,6.3,20.5,1464,186,75,28,0,0,255,320,0,7,0,1378,106,0,0,20,35,50,61,37,0
AtlPR073,south,-50.56,-25.67,871,17.1,11.9,58,320,26.9,6.3,20.6,1494,173,73,26,0,0,270,345,0,7,0,1377,108,0,0,20,35,50,61,37,0
AtlPR074,south,-53.07,-25.78,521,18.3,13.7,59,353,29.6,6.3,23.3,1904,228,106,25,0,0,360,704,0,6,0,1553,123,0,0,20,35,50,61,37,0
AtlPR075,south,-49.72,-25.82,896,16.8,11.5,57,317,26.5,6.2,20.3,1296,154,67,26,0,0,215,192,0,7,0,1342,97,0,0,20,35,50,61,37,0
AtlPR076,south,-50.33,-25.85,829,17.2,12.1,57,331,27.3,6.1,21.2,1467,180,71,28,0,0,265,321,0,7,0,1391,105,0,0,20,35,50,61,37,0
AtlPR077,south,-53.34,-25.88,560,18.4,13.6,59,355,29.6,6.5,23.1,1950,228,106,25,0,0,360,750,0,6,0,1546,126,0,0,20,35,50,61,37,0
AtlPR078,south,-49.5,-25.89,847,16.8,11,56,311,26.2,6.5,19.7,1300,160,68,27,0,0,215,195,0,6,0,1314,99,0,0,20,35,50,61,37,0
AtlPR079,south,-52.52,-25.99,719,17.3,13.5,59,338,28.2,5.5,22.7,1908,201,122,18,0,0,360,708,0,8,0,1498,127,0,0,5,15,50,70,37,0
AtlPR080,south,-51.52,-26.1,820,17,12.1,58,324,27,6.2,20.8,1732,179,103,18,0,0,360,532,0,7,0,1392,124,0,0,20,45,50,59,37,0
AtlPR081,south,-52.68,-26.19,767,17.2,14,61,335,28.4,5.3,23.1,1942,194,118,17,0,0,360,742,0,9,0,1506,129,0,0,5,15,50,70,37,0
AtlPR082,south,-53.16,-26.2,644,17.8,13.7,60,344,29,6,23,1975,209,122,18,0,0,360,775,0,7,0,1521,130,0,0,5,15,50,70,37,0
AtlPR083,south,-52.23,-26.32,893,16.7,13.3,60,328,27.4,5.1,22.3,2105,230,129,19,0,0,360,905,0,10,0,1446,146,0,0,5,5,50,73,37,0
